[Info] , 18-07-2021 - 12:28:00 , EGG POWDER PLANT build successfully , username:mom , 
[Error] , 18-07-2021 - 12:28:01 , EGG is not enough to work EGG POWDER PLANT , username:mom , 
[Info] , 18-07-2021 - 12:28:02 , HEN buy successfuly , username:mom , 
[Info] , 18-07-2021 - 12:28:03 , TIGER created , username:mom , 
[Info] , 18-07-2021 - 12:28:04 , plant successfully , username:mom , 
[Info] , 18-07-2021 - 12:28:04 , plant successfully , username:mom , 
[Info] , 18-07-2021 - 12:28:05 , new EGG created , username:mom , 
[Info] , 18-07-2021 - 12:28:05 , TIGER caged successfuly , username:mom , 
[Info] , 18-07-2021 - 12:28:05 , TIGER caged successfuly , username:mom , 
[Info] , 18-07-2021 - 12:28:05 , TIGER caged successfuly , username:mom , 
[Info] , 18-07-2021 - 12:28:06 , TIGER caged successfuly , username:mom , 
[Info] , 18-07-2021 - 12:28:06 , EGG stored successfully , username:mom , 
[Info] , 18-07-2021 - 12:28:07 , EGG_POWDER_PLANT start work with 1 EGG , username:mom , 
[Info] , 18-07-2021 - 12:28:09 , new EGG created , username:mom , 
[Info] , 18-07-2021 - 12:34:04 , HEN buy successfuly , username:mom , 
[Info] , 18-07-2021 - 12:34:06 , TIGER created , username:mom , 
[Info] , 18-07-2021 - 12:34:07 , TIGER caged successfuly , username:mom , 
[Info] , 18-07-2021 - 12:34:07 , TIGER caged successfuly , username:mom , 
[Info] , 18-07-2021 - 12:34:07 , TIGER caged successfuly , username:mom , 
[Info] , 18-07-2021 - 12:34:08 , plant successfully , username:mom , 
[Info] , 18-07-2021 - 12:34:08 , new EGG created , username:mom , 
[Info] , 18-07-2021 - 12:34:08 , TIGER caged successfuly , username:mom , 
[Info] , 18-07-2021 - 12:34:09 , EGG stored successfully , username:mom , 
[Info] , 18-07-2021 - 12:34:10 , EGG POWDER PLANT build successfully , username:mom , 
[Info] , 18-07-2021 - 12:34:11 , EGG_POWDER_PLANT start work with 1 EGG , username:mom , 
[Info] , 18-07-2021 - 12:34:12 , new EGG created , username:mom , 
[Info] , 18-07-2021 - 12:34:14 , EGG stored successfully , username:mom , 
[Info] , 18-07-2021 - 12:34:15 , TIGER stored successfully , username:mom , 
[Info] , 18-07-2021 - 12:34:16 , new EGG created , username:mom , 
[Info] , 18-07-2021 - 12:34:18 , 1 Tiger added to truck , username:mom , 
[Info] , 18-07-2021 - 12:34:25 , EGG stored successfully , username:mom , 
[Info] , 18-07-2021 - 12:34:25 , EGG_POWDER_PLANT produce POWDER , username:mom , 
[Info] , 18-07-2021 - 12:34:27 , POWDER stored successfully , username:mom , 
[Info] , 18-07-2021 - 12:34:27 , new EGG created , username:mom , 
[Info] , 18-07-2021 - 12:34:29 , EGG stored successfully , username:mom , 
[Info] , 18-07-2021 - 12:34:31 , plant successfully , username:mom , 
[Info] , 18-07-2021 - 12:34:31 , HEN ate grass , username:mom , 
[Info] , 18-07-2021 - 12:34:31 , new EGG created , username:mom , 
[Info] , 18-07-2021 - 12:34:33 , EGG stored successfully , username:mom , 
[Info] , 18-07-2021 - 12:34:34 , EGG POWDER PLANT upgrade successfully , username:mom , 
[Info] , 18-07-2021 - 12:34:35 , EGG_POWDER_PLANT start work with 2 EGG , username:mom , 
[Info] , 18-07-2021 - 12:34:35 , new EGG created , username:mom , 
[Info] , 18-07-2021 - 12:34:37 , EGG stored successfully , username:mom , 
[Info] , 18-07-2021 - 12:34:39 , LION created , username:mom , 
[Info] , 18-07-2021 - 12:34:39 , new EGG created , username:mom , 
[Info] , 18-07-2021 - 12:34:40 , LION caged successfuly , username:mom , 
[Info] , 18-07-2021 - 12:34:41 , LION caged successfuly , username:mom , 
[Info] , 18-07-2021 - 12:34:41 , LION caged successfuly , username:mom , 
[Info] , 18-07-2021 - 12:34:41 , EGG_POWDER_PLANT produce POWDER , username:mom , 
[Info] , 18-07-2021 - 12:34:41 , EGG_POWDER_PLANT produce POWDER , level = 2 , username:mom , 
[Info] , 18-07-2021 - 12:34:43 , new EGG created , username:mom , 
[Info] , 18-07-2021 - 12:34:43 , truck comed back! it is ready , username:mom , 
[Info] , 18-07-2021 - 12:34:44 , EGG stored successfully , username:mom , 
[Info] , 18-07-2021 - 12:34:44 , POWDER stored successfully , username:mom , 
